max_iterations,instance_seed,trial_seed,success,iterations,path_length,optimal_length,best_distance_to_goal,wall_time_sec,mean_entropy
610,1,1000,False,610,96,61,25,6.2,5.444894521729882
610,1,1001,False,610,102,61,25,6.4,5.425370300411313
610,1,1002,False,610,117,61,24,6.45,5.446032447955134
610,1,1003,False,610,113,61,16,6.56,5.453827345499665
5000,1,1001,False,5000,111,61,26,47.65,5.432609631258544
5000,1,1003,False,5000,104,61,23,47.89,5.436391837521023
5000,1,1000,False,5000,103,61,30,48.17,5.445256920523272
5000,1,1002,False,5000,117,61,22,48.36,5.448137787140692
15000,1,1003,False,15000,99,61,18,150.13,5.44028471447414
15000,1,1002,False,15000,110,61,25,150.67,5.440119910512502
15000,1,1001,False,15000,117,61,24,151.08,5.437566735718251
15000,1,1000,False,15000,106,61,31,151.46,5.440233057101062
50000,1,1001,False,50000,118,61,25,383.77,5.4402815081873825
50000,1,1000,False,50000,100,61,23,385.86,5.439599443702244
50000,1,1002,False,50000,116,61,21,385.99,5.439843622665884
50000,1,1003,False,50000,114,61,23,385.73,5.439951077828232
